"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Kiểm tra hệ thống hiển thị lỗi khi đăng nhập bằng tài khoản locked_out_user","489","testLoginLockedUser","Smoke Suite","Tue Mar 31 14:06:56 UTC 2026","passed","Tue Mar 31 14:06:56 UTC 2026","tests.LoginTest","Smoke Tests","tests.LoginTest","testLoginLockedUser"
"Kiểm tra hệ thống hiển thị lỗi khi nhập sai mật khẩu","460","testLoginWrongPassword","Smoke Suite","Tue Mar 31 14:07:00 UTC 2026","passed","Tue Mar 31 14:07:01 UTC 2026","tests.LoginTest","Smoke Tests","tests.LoginTest","testLoginWrongPassword"
"Kiểm tra đăng nhập thành công với tài khoản hợp lệ","404","testLoginSuccess","Smoke Suite","Tue Mar 31 14:06:57 UTC 2026","passed","Tue Mar 31 14:06:57 UTC 2026","tests.LoginTest","Smoke Tests","tests.LoginTest","testLoginSuccess"
